Feature	PC1_feature_contrib	PC2_feature_contrib	PC3_feature_contrib	PC1_rank	PC2_rank	PC3_rank	PC1_feature_contrib_cum_ratio	PC2_feature_contrib_cum_ratio	PC3_feature_contrib_cum_ratio
FCsp3	0.06331096220270978	0.34038805335851585	0.3960420591689118	14	4	3	0.9591591795302205	0.44767563121772525	0.4630811751075974
LogP	0.04337067022687874	0.2580139327411143	0.38942997885158565	17	6	4	1.0	0.6197360987174022	0.5895560077838459
MW	0.36667415369895007	0.009541798917164473	0.061448930006778334	2	16	14	0.20532981795581792	0.9993229700382745	0.9580542722813766
NP_Like	0.10636441733591728	0.4445999822997157	0.05007510014365533	13	1	16	0.9414541092422839	0.1280329162288458	0.9927201789574526
NumAtBridgehead	0.1236780448934891	0.19043292917506904	0.19597195067110654	12	8	5	0.9117090316198937	0.7396056532763774	0.653201646323174
NumAtHal	0.04929115829800104	0.1522928460926561	0.10967165494259595	16	11	8	0.9878712826643956	0.8734165153710873	0.8061811650365404
NumAtN	0.16763276436631355	0.37184252005431917	0.07178499001752559	10	3	12	0.8325231606834596	0.34965296622451836	0.9158154090339149
NumAtOx	0.3371213923371039	0.059115249664882394	0.022415373040259198	5	15	17	0.49990692339836956	0.9965751868847199	0.9999999999999997
NumHA	0.36755779976285	0.0023510165812482275	0.07537553640684139	1	17	11	0.10278846590333458	1.0000000000000002	0.892501860786021
NumHAcc	0.3559297845171557	0.15593580154393147	0.056665055332909685	4	10	15	0.40563007561038944	0.8295602446056757	0.9764573326029123
NumHDon	0.31971235473389	0.12820086657962443	0.16544707995775432	6	12	7	0.5893152899046509	0.9103349397181884	0.7705631978499969
NumRings	0.2000030040425962	0.15643550804413808	0.4888974135715013	9	9	2	0.785644235258762	0.7846549000015608	0.33445894290591466
NumRingsAli	0.15948003357294493	0.39774293662013255	0.09590583350222202	11	2	9	0.8771221543757494	0.24257225521283013	0.8373284184674129
NumRingsArom	0.0533794804922124	0.33947367480587487	0.5409386123514185	15	5	1	0.9740868859047052	0.5454349796178316	0.17568015869507875
NumRotBd	0.27016177173922634	0.1160494877947846	0.19592209968033011	7	14	6	0.6648667108803966	0.9795515744026823	0.7168310947999503
QED	0.23188126167904843	0.2258194175256619	0.06860919517991844	8	7	13	0.729712890651571	0.6847660575972011	0.9380975571777773
TPSA	0.36031713432179824	0.12430834722138417	0.0945095863535525	3	13	10	0.30609341350329233	0.9461324224891451	0.8680222139364114
